"sku","description","price","currency","family","status"
"PNM-9084RQZ1","Wisenet P series network vandal outdoor Multi-sensor Multi-Directional dome camera, 2MP x 4ch multi-directional camera, Motorized PTRZ support, Max. 60fps@2MP(H.265, H.264), 3.2~10mm(3.1x) motorized varifocal, IR viewable length: 30m, H.265, H.264, MJPEG with WiseStream II technology, 120dB WDR, defocus detection, built in analytics, true D/N, 4x SD card, hallway view, HLC, defog detection, Bi-Directional Audio,  Alarm I/O 1/1, IP66, IK10, NEMA4X, -40°C ~ +55°C (-40°F ~ +131°F), White, DIS, HPoE Injector included","3772.8","CAD","Power Supply","active"
"PNM-C32083RQZ","Wisenet P series network vandal outdoor Multi-Directional camera [AI ON] 4CH x 8MP @ 15FPS / [AI OFF] 4CH x 8MP @ 20FPS, Motorized Varifocal Lens with PTRZ function 4.38~9.33mm (FoV H: 112.1°~47.5°, V: 58°~26.6°), triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length [PoE++ 25m(82ft), PoE+ 15m(49ft)], Analytics events based on AI engine: Classified object type: Person/Face/Vehicle/License plate; Attributes: Vehicle(Type and color: car/bus/truck/motorcycle/bicycle), Person (upper and bottom clothing color), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, Operating Temperature: -40°C~+55°C(-40°F~+131°F), PoE++/PoE+, Hard-coated dome bubble","5109.0","CAD","Software and licensing","active"
"PNM-C32083RVQ","Wisenet P series network vandal outdoor Multi-Directional camera [AI ON] 4CH x 8MP @ 15FPS / [AI OFF] 4CH x 8MP @ 20FPS, Motorized Varifocal Lens 3.3~5.7mm (FoV H: 109°~56°, V: 55°~31°), triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length [PoE+] 15m (49ft) / [HPoE] 20m (65ft), USB port for easy installation, Analytics events based on AI engine: Object detection [Person/Vehicle (Car/Bus/Truck/Motorcycle/Bicycle)], IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, Operating Temperature: -40°C~+55°C(-40°F~+131°F), PoE+ /HPoE, Hard-coated dome bubble","4192.0","CAD","Cameras","active"
"PNM-9085RQZ1","Wisenet P series network vandal outdoor Multi-sensor Multi-Directional dome camera, 5MP x 4ch multi-directional camera, Motorized PTRZ support, Max. 30fps@5MP(H.265, H.264), 4.13~9.4mm(2.3x) motorized varifocal lens, IR viewable length: 30m, H.265, H.264, MJPEG with WiseStream II technology, 120dB WDR, defocus detection, built in analytics, true D/N, 4x SD card, hallway view, HLC, defog detection, Bi-Directional Audio,  Alarm I/O 1/1, IP66, IK10, NEMA4X, -40°C ~ +55°C (-40°F ~ +131°F), White, DIS, HPoE Injector included","4978.0","CAD","Power Supply","active"
"PNM-C20000QB","Wisenet P series network remote head camera 4CH x 2MP @ 30FPS or 4CH x 5MP @ 15FPS, Triple codec H.265/H.264/MJPEG, 120dB WDR, Analytics events based on AI engine: Classified object type: Person/Face/Vehicle/License plate, Attributes: Vehicle(Type and color: car/bus/truck/motorcycle/bicycle), Person (upper and bottom clothing color), IVA (Virtual line/Area, Enter/Exit, Loitering, Intrusion), Appear/Disappear, Business intelligence based on AI engine: People counting, Vehicle counting, Queue management, Heatmap, WiseNR Ⅱ(Based on AI engine), WiseStreamⅢ(Based on AI engine), USB-C for easy installation, 4 x Selectable I/O, 4 x Audio inputs, 1 Audio Out, TPM with FIPS 140-3 level3, Built-in microSD card slots (Up to 512GB x2), 12VDC/PoE+,  Compatible with SLA-T4680A/T4680VA, SLA-T2480A/T2480VA, SLA-T1080FA [Future compatibility with 5MP lenses]","1703.0","CAD","Software and licensing","active"
"PNM-9000QB","WN7 multi head camera, 4 x 2MP @ 30fps, triple codec H.265/H.264/MJPEG, extreme WDR 150dB, dual SD cards slots, Wisestream II, hallway view, HLC, defog detection, audio In/out, HDMI out 12VDC/PoE+ , DIS support, analytics- defocus, directional, motion, enter/exit, tampering, virtual line, I/O in/out. Compatible with SLA-T4680A/T4680VA, SLA-T2480A/T2480VA, SLA-T1080FA","864.6","CAD","Audio and power accessories","active"
"PNM-9002VQ","Network vandal outdoor Multi-sensor Multi-Directional dome camera, (2MP/5MP X 4 sensors sold separately) 8MP ~20MP (2MP @ 60fps or 5MP @30fps), fixed focal lens modules, triple codec H.265/H.264/MJPEG with WiseStream II technology, 150dB WDR @ 2MP or 120dB @ 5MP, defocus detection, built in analytics, PTZ handover, 4x SD card, hallway view, HLC, defog detection, DIS(Gyro Sensor), PoE+, IP66/IK10, -40°C ~ +55°C (-40°F ~ +131°F) 2MP Lens modules: SLA-2M2400Q (2.4mm), SLA-2M2800Q (2.8mm), SLA-2M3600Q (3.6mm), SLA-2M6000Q (6mm) 5MP Lens modules: SLA-5M3700Q (3.7mm), SLA-5M4600Q (4.6mm), SLA-5M7000Q (7.0mm). WHITE COLOR","2227.0","CAD","Cameras","active"
"PNM-C12083RVD","Network vandal outdoor 2CH AI IR dome camera, (6MP X 2 sensors) 12MP @ 15fps, 3.4~6.8mm(2x) (95.08°~47.64°) motorized varifocal lens, Triple codec (H.265/H.264/MJPEG), IR viewable length 25m (82ft), USB port for easy installation, Day & Night (ICR), extremeWDR (120dB), DIS, Handover, Analytics events based on AI engine: Object detection(Person/Face/Vehicle/License plate), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Analytics events : Defocus detection, Motion detection, Tampering, Audio detection, Sound classification, Appear/Disappear, FIPS 140-2, micro SD card 512GB, IP66, NEMA4X, IK10, Operating temperature: -40°C~+55°C(-40°F ~ +131°F), Power: PoE+, Metal shielded RJ-45, Hard-coated dome bubble","2685.5","CAD","Software and licensing","active"
"PNM-12082RVD","Network vandal outdoor 2CH IR dome camera, (6MP X 2 sensors) 12MP @ 15fps, 3.4~6.8mm(2x) (95.08°~47.64°) motorized varifocal lens, Triple codec (H.265/H.264/MJPEG), IR viewable length 25m (82ft), USB port for easy installation, Day & Night (ICR), extremeWDR (120dB), DIS, Handover, Analytics events: Defocus detection, Directional detection, Motion detection, Appear/Disappear, Enter/Exit, Loitering, Tampering, Virtual line, Audio detection, Sound classification, FIPS 140-2, micro SD card 512GB, IP66, NEMA4X, IK10, Operating temperature: -40°C~+55°C(-40°F ~ +131°F), Power: PoE+, Metal shielded RJ-45, Hard-coated dome bubble","2227.0","CAD","Audio and power accessories","active"
"PNM-9000VD","Network vandal outdoor Multi-sensor Multi-Directional dome camera, (5MP X 2 sensors sold separately) 10MP @ 30fps, modular lenses from 3.7, 4.6 and 7.0mm lenses, triple codec H.265/H.264/MJPEG with WiseStream II technology, 120dB WDR, built in analytics, 2x SD card, hallway view, HLC, defog detection, DIS, PoE, IP66/IK10, -40°C ~ +55°C (-40°F ~ +131°F). Lens modules: SLA-5M3700D (3.7mm), SLA-5M4600D (4.6mm), SLA-5M7000D (7.0mm)","1441.0","CAD","Cameras","active"
